__id,countryName,iso3166Alpha2Code,iso3166Alpha3Code,m49code,wbCountryCode,wbIncomeLevelCode,wbIncomeLevelName,wbLendingTypeCode,wbLendingTypeName,wbRegion,wbRegionCode,responseDate,roundId,extendedBreakCode,educationStatusCode,educationStatusPrePrimaryCode,educationStatusPrimaryCode,educationStatusLowerSecondaryCode,educationStatusUpperSecondaryCode,educationStatusHigherCode,educationStatusVocationalCode,vaccineAvailabilityForTeachersCode,inPersonAdditionalSupportPrePrimary,inPersonAdditionalSupportPrimary,inPersonAdditionalSupportLowerSecondary,inPersonAdditionalSupportUpperSecondary,remoteEducationModalitiesPrePrimaryCode,remoteEducationModalitiesPrimaryCode,remoteEducationModalitiesLowerSecondaryCode,remoteEducationModalitiesUpperSecondaryCode,remoteEducationModalitiesHigherCode,remoteEducationModalitiesVocationalCode,inPersonPrioritizationCategoriesCode,inPersonPrioritizationGradeLevelCode,inPersonPrioritizationStudentNeedCode,inPersonPrioritizationGeographyCode,inPersonLearningCoveragePrePrimaryCode,inPersonLearningCoveragePrimaryCode,inPersonLearningCoverageLowerSecondaryCode,inPersonLearningCoverageUpperSecondaryCode,inPersonLearningCoverageHigherCode,inPersonLearningCoverageVocationalCode
recR0SipTU6OFkfqK,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-06-28,10,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
recStUZGyX78wA9kB,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-07-12,11,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
rec5X2Pruur99ang2,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-07-25,12,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
recyHFoNoh40cq1d4,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-08-11,13,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
recqXuQfeKooltRWS,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-08-24,14,2,4,4,4,4,4,4,4,6,4,4,4,4,,,,,,,5,,,,1,1,1,1,1,1
recuQpCQOJBYSaQyv,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-09-09,15,2,3,3,3,3,3,5,5,6,7,7,7,7,1,1,1,1,6,6,5,,,15,2,2,2,2,5,5
reckSYjVMxeZ0dxEZ,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-09-23,16,2,3,3,3,3,3,5,5,6,1,1,1,1,1,1,1,1,7,7,5,,,,4,4,4,4,5,5
rec1xNfKwuVbq3rtz,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-10-07,17,2,3,3,3,3,3,5,5,6,1,1,1,1,1,1,1,1,7,7,5,,,,4,4,4,4,5,5
rec6SXVaJzIXyZoUi,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-10-20,18,2,"3,4","3,4","3,4","3,4","3,4",5,5,6,1,1,1,1,1,1,1,1,7,7,5,,,,4,4,4,4,5,5
recUoyEoVzyQbPlH8,American Samoa,AS,ASM,16,ASM,UMC,Upper middle income,LNX,Not classified,East Asia and Pacific,EAP,2021-11-04,19,2,4,4,4,4,4,5,5,6,8,8,8,8,,,,,,,5,,,,2,2,2,2,5,5
